company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
ChargeGrid Charging Station,,,,ev charging stations manufacturers,,,"Amanora Park Town, Amanora, Magarpatta Rd, Hadapsar, Pune, Maharashtra 411028",Electric vehicle charging station,Maharashtra,Pune,411028,https://www.magentagroup.com/
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"Sr. No. 463/A, opp. Golden Bakery, Salisbury Park, Gultekadi, Pune, 411037",Electric vehicle charging station,Maharashtra,Pune,411037,
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"GV25+J67, Subhash Nagar, Shukrawar Peth, Pune, Maharashtra 411002",Electric vehicle charging station,Maharashtra,Pune,411002,
Kazam Charging Station,,,,ev charging stations manufacturers,,,"BH. Muthoot Finance, Kranti Park, SR NO 21/4, Shree Datta Laxmi Complex, New Bypass Highway, Kharadi, Pune, 411014",Electric vehicle charging station,Maharashtra,Pune,411014,
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"CVWG+M64, Gokul Nagar, Katraj, Pune, Maharashtra 411048",Electric vehicle charging station,Maharashtra,Pune,411048,
Evigo Charge Charging Station,,,,ev charging stations manufacturers,,,"FR9H+HPR Siddhivinayak EVRS, Meenakshipuram, Vadgaon Budruk, Pune, Maharashtra 411041",Electric vehicle charging station,Maharashtra,Pune,411041,
Kazam Charging Station,,,9958943092,ev charging stations manufacturers,,,"GWXH+6XV, Old Mundhwa Rd, Mahadev Nagar, Kharadi, Pune, Maharashtra 411014",Electric vehicle charging station,Maharashtra,Pune,411014,https://kazam.in/
Kazam Charging Station,,,,ev charging stations manufacturers,,,"HW7P+4V4, Nagar pune road Naaz auto, in front of post office, shirur, 412210",Electric vehicle charging station,Maharashtra,Pune,412210,
Kazam Charging Station,,,9958943092,ev charging stations manufacturers,,,"Riverdale Heights Pune, Thite Nagar, Kharadi, Pune, Maharashtra 411014",Electric vehicle charging station,Maharashtra,Pune,411014,https://kazam.in/
Kazam Charging Station,,,9958943092,ev charging stations manufacturers,,,"Shop no.D, Sai Heritage Society,, Near Medi Point Hospital, 4, Baner Link Road, near medipoint hospital, Aundh, Pune, Maharashtra 411007",Electric vehicle charging station,Maharashtra,Pune,411007,https://www.kazam.in/installation
EV Sunbeam Powwer Pvr Ltd,,,,ev charging stations manufacturers,,,"SR No 10/10, Plot No.: 7/1, Shivandand Society, Chawan Nagar, Dhankawadi, Pune, Maharashtra 411043",Electric vehicle charging station,Maharashtra,Pune,411043,http://evsunbeampowwer.com/
Kazam Charging Station,,,,ev charging stations manufacturers,,,"A14, Suparshawnath Society, Arihant Society, Maharshi Nagar, Pune, Maharashtra 411037",Electric vehicle charging station,Maharashtra,Pune,411037,
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"23/24, Chandrashekhar Agashe Path, Pulachi Wadi, Narayan Peth, Pune, Maharashtra 411030",Electric vehicle charging station,Maharashtra,Pune,411030,https://www.plugshare.com/location/307872
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"FRFC+W6H, Sinhgad Rd, Ganesh Complex, Manik Baug, Anand Nagar, Pune, Maharashtra 411051",Electric vehicle charging station,Maharashtra,Pune,411051,
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"GR33+7HM, Shastri Nagar, Kothrud, 34, A-3, Kailas Soc, Shastri Nagar, Kothrud, Pune, Maharashtra 411058",Electric vehicle charging station,Maharashtra,Pune,411058,
Greensor Private Limited,,,,ev charging stations manufacturers,,,"Shop No.4, Omkar Heights, Thite Vasti, Thite Nagar, Kharadi, Pune, Maharashtra 411014",Electric vehicle charging station,Maharashtra,Pune,411014,
Electric Vehicle Charging Station,,,,ev charging stations manufacturers,,,"692/5B 'Suraj', Nandadeep Society, Near Hotel Tiranga, Pune Satara Road, Pune, Maharashtra 411037",Electric vehicle charging station,Maharashtra,Pune,411037,
Kazam Charging Station,,,,ev charging stations manufacturers,,,"P-117, Jogeshwari Ln, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002",Electric vehicle charging station,Maharashtra,Pune,411002,
