company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
AIC CAPITANIO AUTOMATION SYSTEMS INDIA PRIVATE LIMITED,,,123456789,,,,,,,,,
AS AUTOMATION & ENGINEERING SERVICES PVT LTD,,,123456789,,,,,,,,,
COREEL TECHNOLOGIES (INDIA) PRIVATE LIMITED,,,123456789,,,,,,,,,
Green Power Services,,,123456789,,,,,,,,,
INDUS AUTOMATION,,,123456789,,,,,,,,,
M B ELECTRICAL,,,123456789,,,,,,,,,
NANDINI ENTERPRISES,,,123456789,,,,,,,,,
R S ASSOCIATES,,,123456789,,,,,,,,,
RDL TECHNOLOGIES PRIVATE LIMITED,,,123456789,,,,,,,,,
SCITA Solutions,,,123456789,,,,,,,,,
SHREE ELECTRICALS .,,,123456789,,,,,,,,,
SRI NEHA TECHNOLOGY AND CALIBRATIONS SERVCES,,,123456789,,,,,,,,,
Topline Technologies Inc,,,123456789,,,,,,,,,
VANSOM TECHNOLOGIES,,,123456789,,,,,,,,,
Vihawk Tech Solutions pvt ltd,,,123456789,,,,,,,,,
